,EVENT,DATE,LOCATION,BOUT,WINNER,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
0,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Islam Makhachev  vs  Renato Moicano,Islam Makhachev,UFC Lightweight Title Bout,Submission,1,4:05,5 Rnd (5-5-5-5-5),Herb Dean,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/daef1691c7d6b1e4
1,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Merab Dvalishvili  vs  Umar Nurmagomedov,Merab Dvalishvili,UFC Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Leben 47 - 48.Chris Crail 46 - 49.Mike Bell 47 - 48.,http://ufcstats.com/fight-details/f39941b3743bf18c
2,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Jiri Prochazka  vs  Jamahal Hill,Jiri Prochazka,Light Heavyweight Bout,KO/TKO,3,3:01,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground ,http://ufcstats.com/fight-details/959fea398ffa5778
3,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Jailton Almeida  vs  Serghei Spivac,Jailton Almeida,Heavyweight Bout,KO/TKO,1,4:53,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control ,http://ufcstats.com/fight-details/54d48b33e7240452
4,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Kevin Holland  vs  Reinier de Ridder,Reinier de Ridder,Middleweight Bout,Submission,1,3:31,3 Rnd (5-5-5),Frank Trigg,Rear Naked Choke ,http://ufcstats.com/fight-details/69d63c057aebffaf
5,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Payton Talbott  vs  Raoni Barcelos,Raoni Barcelos,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Leben 27 - 30.Jonathan Romero 27 - 30.Chris Crail 26 - 30.,http://ufcstats.com/fight-details/d14f98b24691d082
6,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Zachary Reese  vs  Azamat Bekoev,Azamat Bekoev,Middleweight Bout,KO/TKO,1,3:04,3 Rnd (5-5-5),Blake Grice,Punches to Head From Guard ,http://ufcstats.com/fight-details/938081fae11dcbbf
7,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Bogdan Guskov  vs  Billy Elekana,Bogdan Guskov,Light Heavyweight Bout,Submission,2,3:33,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/a6db8eb1fb3eebf2
8,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Grant Dawson  vs  Diego Ferreira,Grant Dawson,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Frank Trigg,Felicia Oh 27 - 30.RaphaelDavis 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/aa3fca085d476636
9,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Karol Rosa  vs  Ailin Perez,Ailin Perez,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29.Jonathan Romero 28 - 29.Chris Crail 27 - 30.,http://ufcstats.com/fight-details/340fcdcabc49f142
10,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Rinya Nakamura  vs  Muin Gafurov,Muin Gafurov,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Leben 27 - 30.Derek Cleary 27 - 30.Felicia Oh 27 - 30.,http://ufcstats.com/fight-details/e5e3d396a9b1c5ae
11,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Ricky Turcios  vs  Benardo Sopaj,Benardo Sopaj,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Frank Trigg,Brian Tyler27 - 30.Felicia Oh 27 - 30.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/95ba27bea09cd84e
12,UFC 311: Makhachev Vs. Moicano,"January 18, 2025","Inglewood, California, USA",Tagir Ulanbekov  vs  Clayton Carpenter,Tagir Ulanbekov,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Blake Grice,Brian Tyler27 - 30.Jonathan Romero 27 - 30.RaphaelDavis 28 - 29.,http://ufcstats.com/fight-details/e294a1e5723011db
13,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Mackenzie Dern  vs  Amanda Ribas,Mackenzie Dern,Women's Strawweight Bout,Submission,3,4:56,5 Rnd (5-5-5-5-5),Mark Smith,Armbar From Mount ,http://ufcstats.com/fight-details/f46308108eb9261a
14,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Santiago Ponzinibbio  vs  Carlston Harris,Santiago Ponzinibbio,Welterweight Bout,KO/TKO,3,3:13,3 Rnd (5-5-5),Kerry Hatley,Punches to Head At Distance ,http://ufcstats.com/fight-details/ce4fc800a7456d18
15,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Cesar Almeida  vs  Abdul Razak Alhassan,Cesar Almeida,Middleweight Bout,KO/TKO,1,4:16,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/a2a5809ed8a01b45
16,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Chris Curtis  vs  Roman Kopylov,Roman Kopylov,Middleweight Bout,KO/TKO,3,4:59,3 Rnd (5-5-5),Mark Smith,Kick to Head At Distance ,http://ufcstats.com/fight-details/aa38e39397dbea72
17,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Christian Rodriguez  vs  Austin Bashi,Christian Rodriguez,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.David Lethaby 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/03c1865919daeaa4
18,UFC Fight Night: Dern Vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA",Punahele Soriano  vs  Uros Medic,Punahele Soriano,Welterweight Bout,KO/TKO,1,0:31,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/32cc31b76b32ade1
