Name,Found In,Action
Danny Abbadi,Cleaner_Fight_Results,Research
David Abbott,Cleaner_Fight_Results,Research
Papy Abedi,Cleaner_Fight_Results,Research
Ricardo Abreu,Cleaner_Fight_Results,Research
Scott Adams,Cleaner_Fight_Results,Research
Sam Adkins,Cleaner_Fight_Results,Research
Nick Agallar,Cleaner_Fight_Results,Research
Marcelo Aguiar,Cleaner_Fight_Results,Research
Razak Al-Hassan,Cleaner_Fight_Results,Research
Wes Albritton,Cleaner_Fight_Results,Research
Alfonso Alcarez,Cleaner_Fight_Results,Research
Gilbert Aldana,Cleaner_Fight_Results,Research
Royce Alger,Cleaner_Fight_Results,Research
George Allen,Cleaner_Fight_Results,Research
Ericka Almeida,Cleaner_Fight_Results,Research
Sean Alvarez,Cleaner_Fight_Results,Research
Amilcar Alves,Cleaner_Fight_Results,Research
Matt Andersen,Cleaner_Fight_Results,Research
Andy Anderson,Cleaner_Fight_Results,Research
Lowell Anderson,Cleaner_Fight_Results,Research
Alex Andrade,Cleaner_Fight_Results,Research
Jermaine Andre,Cleaner_Fight_Results,Research
Reese Andy,Cleaner_Fight_Results,Research
Yoji Anjo,Cleaner_Fight_Results,Research
Azunna Anyanwu,Cleaner_Fight_Results,Research
Romie Aram,Cleaner_Fight_Results,Research
Cesar Arzamendia,Cleaner_Fight_Results,Research
Khusein Askhabov,Cleaner_Fight_Results,Research
Ibo Aslan,Cleaner_Fight_Results,Research
Pat Audinwood,Cleaner_Fight_Results,Research
Chris Avila,Cleaner_Fight_Results,Research
Niklas Backstrom,Cleaner_Fight_Results,Research
Izabela Badurek,Cleaner_Fight_Results,Research
Mehdi Baghdad,Cleaner_Fight_Results,Research
Scott Baker,Cleaner_Fight_Results,Research
Marcin Bandel,Cleaner_Fight_Results,Research
David Baron,Cleaner_Fight_Results,Research
Dan Barrera,Cleaner_Fight_Results,Research
Carlos Barreto,Cleaner_Fight_Results,Research
Alexandre Barros,Cleaner_Fight_Results,Research
Dean Barry,Cleaner_Fight_Results,Research
Stephen Bass,Cleaner_Fight_Results,Research
Shayna Baszler,Cleaner_Fight_Results,Research
Michel Batista,Cleaner_Fight_Results,Research
Dave Beneteau,Cleaner_Fight_Results,Research
Steve Berger,Cleaner_Fight_Results,Research
Keith Berish,Cleaner_Fight_Results,Research
Dave Berry,Cleaner_Fight_Results,Research
Dieusel Berto,Cleaner_Fight_Results,Research
Allen Berube,Cleaner_Fight_Results,Research
Scott Bessac,Cleaner_Fight_Results,Research
Amaury Bitetti,Cleaner_Fight_Results,Research
Jason Black,Cleaner_Fight_Results,Research
Tom Blackledge,Cleaner_Fight_Results,Research
Byron Bloodworth,Cleaner_Fight_Results,Research
Dan Bobish,Cleaner_Fight_Results,Research
Jerry Bohlander,Cleaner_Fight_Results,Research
Jesse Bongfeldt,Cleaner_Fight_Results,Research
Marcus Bossett,Cleaner_Fight_Results,Research
Tai Bowden,Cleaner_Fight_Results,Research
Melton Bowen,Cleaner_Fight_Results,Research
Paul Bradley,Cleaner_Fight_Results,Research
Ebenezer Fontes Braga,Cleaner_Fight_Results,Research
Joe Brammer,Cleaner_Fight_Results,Research
Chris Brennan,Cleaner_Fight_Results,Research
Aaron Brink,Cleaner_Fight_Results,Research
Todd Brown,Cleaner_Fight_Results,Research
Humberto Brown Morrison,Cleaner_Fight_Results,Research
Junie Browning,Cleaner_Fight_Results,Research
Jules Bruchez,Cleaner_Fight_Results,Research
Steve Bruno,Cleaner_Fight_Results,Research
Fernando Bruno,Cleaner_Fight_Results,Research
Josh Bryant,Cleaner_Fight_Results,Research
Mikey Burnett,Cleaner_Fight_Results,Research
Nah-Shon Burrell,Cleaner_Fight_Results,Research
Bubba Bush,Cleaner_Fight_Results,Research
Murilo Bustamante,Cleaner_Fight_Results,Research
Todd Butler,Cleaner_Fight_Results,Research
Steve Byrnes,Cleaner_Fight_Results,Research
John Campetella,Cleaner_Fight_Results,Research
Wagner Campos,Cleaner_Fight_Results,Research
Asbel Cancio,Cleaner_Fight_Results,Research
Frank Caracci,Cleaner_Fight_Results,Research
Rafael Carino,Cleaner_Fight_Results,Research
Cain Carrizosa,Cleaner_Fight_Results,Research
Shonie Carter,Cleaner_Fight_Results,Research
Dwayne Cason,Cleaner_Fight_Results,Research
Gil Castillo,Cleaner_Fight_Results,Research
Luke Caudillo,Cleaner_Fight_Results,Research
Adam Cella,Cleaner_Fight_Results,Research
Ansar Chalangov,Cleaner_Fight_Results,Research
Donnie Chappell,Cleaner_Fight_Results,Research
Joe Charles,Cleaner_Fight_Results,Research
Albert Cheng,Cleaner_Fight_Results,Research
Sako Chivitchian,Cleaner_Fight_Results,Research
Will Chope,Cleaner_Fight_Results,Research
Dan Christison,Cleaner_Fight_Results,Research
Anthony Christodoulou,Cleaner_Fight_Results,Research
Mike Ciesnolevicz,Cleaner_Fight_Results,Research
Laverne Clark,Cleaner_Fight_Results,Research
Logan Clark,Cleaner_Fight_Results,Research
Josh Clopton,Cleaner_Fight_Results,Research
Brian Cobb,Cleaner_Fight_Results,Research
John Cofer,Cleaner_Fight_Results,Research
Christian Colombo,Cleaner_Fight_Results,Research
Wes Combs,Cleaner_Fight_Results,Research
Chris Condo,Cleaner_Fight_Results,Research
Bob Cook,Cleaner_Fight_Results,Research
Kit Cope,Cleaner_Fight_Results,Research
Josh Copeland,Cleaner_Fight_Results,Research
Wesley Correira,Cleaner_Fight_Results,Research
JC Cottrell,Cleaner_Fight_Results,Research
Jeff Cox,Cleaner_Fight_Results,Research
Dan Cramer,Cleaner_Fight_Results,Research
Alberto Crane,Cleaner_Fight_Results,Research
Paul Creighton,Cleaner_Fight_Results,Research
Richard Crunkilton,Cleaner_Fight_Results,Research
Marcio Cruz,Cleaner_Fight_Results,Research
Jay Cucciniello,Cleaner_Fight_Results,Research
Larry Cureton,Cleaner_Fight_Results,Research
Cindy Dandois,Cleaner_Fight_Results,Research
Alexandre Dantas,Cleaner_Fight_Results,Research
Sean Daugherty,Cleaner_Fight_Results,Research
Rick Davis,Cleaner_Fight_Results,Research
Mike Davis,Cleaner_Fight_Results,Research
Rodrigo de Lima,Cleaner_Fight_Results,Research
Edilberto de Oliveira,Cleaner_Fight_Results,Research
Jorge de Oliveira,Cleaner_Fight_Results,Research
Tom DeBlass,Cleaner_Fight_Results,Research
Shane del Rosario,Cleaner_Fight_Results,Research
Jason DeLucia,Cleaner_Fight_Results,Research
Nick Denis,Cleaner_Fight_Results,Research
Edwin DeWees,Cleaner_Fight_Results,Research
Eldo Xavier Dias,Cleaner_Fight_Results,Research
David Dodd,Cleaner_Fight_Results,Research
Cameron Dollar,Cleaner_Fight_Results,Research
Houston Dorr,Cleaner_Fight_Results,Research
Antonio Dos Santos,Cleaner_Fight_Results,Research
John Dowdy,Cleaner_Fight_Results,Research
Derek Downey,Cleaner_Fight_Results,Research
Robert Drysdale,Cleaner_Fight_Results,Research
Hugo Duarte,Cleaner_Fight_Results,Research
Milana Dudieva,Cleaner_Fight_Results,Research
Alexis Dufresne,Cleaner_Fight_Results,Research
Kelly Dullanty,Cleaner_Fight_Results,Research
Luiz Dutra,Cleaner_Fight_Results,Research
Ben Earwood,Cleaner_Fight_Results,Research
Cody East,Cleaner_Fight_Results,Research
Abdul-Kerim Edilov,Cleaner_Fight_Results,Research
Tom Egan,Cleaner_Fight_Results,Research
Justin Eilers,Cleaner_Fight_Results,Research
Jon Olav Einemo,Cleaner_Fight_Results,Research
Per Eklund,Cleaner_Fight_Results,Research
Lisa Ellis,Cleaner_Fight_Results,Research
Anna Elmose,Cleaner_Fight_Results,Research
Ian Entwistle,Cleaner_Fight_Results,Research
Konstantin Erokhin,Cleaner_Fight_Results,Research
Fred Ettish,Cleaner_Fight_Results,Research
Doug Evans,Cleaner_Fight_Results,Research
Dan Evensen,Cleaner_Fight_Results,Research
Edward Faaloloto,Cleaner_Fight_Results,Research
Ron Faircloth,Cleaner_Fight_Results,Research
Jason Fairn,Cleaner_Fight_Results,Research
Rinat Fakhretdinov,Cleaner_Fight_Results,Research
Maiquel Falcao,Cleaner_Fight_Results,Research
Brodie Farber,Cleaner_Fight_Results,Research
Kalindra Faria,Cleaner_Fight_Results,Research
Kelly Faszholz,Cleaner_Fight_Results,Research
Josh Ferguson,Cleaner_Fight_Results,Research
CJ Fernandes,Cleaner_Fight_Results,Research
Alexandre Ferreira,Cleaner_Fight_Results,Research
Scott Ferrozzo,Cleaner_Fight_Results,Research
Scott Fiedler,Cleaner_Fight_Results,Research
Colin Fletcher,Cleaner_Fight_Results,Research
Xavier Foupa-Pokam,Cleaner_Fight_Results,Research
Zane Frazier,Cleaner_Fight_Results,Research
Ian Freeman,Cleaner_Fight_Results,Research
Willamy Freire,Cleaner_Fight_Results,Research
Don Frye,Cleaner_Fight_Results,Research
Tony Fryklund,Cleaner_Fight_Results,Research
Katsuhisa Fujii,Cleaner_Fight_Results,Research
Travis Fulton,Cleaner_Fight_Results,Research
Sam Fulton,Cleaner_Fight_Results,Research
Sheila Gaff,Cleaner_Fight_Results,Research
Dave Galera,Cleaner_Fight_Results,Research
Tom Gallicchio,Cleaner_Fight_Results,Research
Joey Gambino,Cleaner_Fight_Results,Research
Sean Gannon,Cleaner_Fight_Results,Research
Azamat Gashimov,Cleaner_Fight_Results,Research
Brian Gassaway,Cleaner_Fight_Results,Research
Paul Georgieff,Cleaner_Fight_Results,Research
Brian Geraghty,Cleaner_Fight_Results,Research
Darrel Gholar,Cleaner_Fight_Results,Research
Tiki Ghosn,Cleaner_Fight_Results,Research
James Giboo,Cleaner_Fight_Results,Research
Lance Gibson,Cleaner_Fight_Results,Research
Joseph Gigliotti,Cleaner_Fight_Results,Research
Joey Gilbert,Cleaner_Fight_Results,Research
Jason Gilliam,Cleaner_Fight_Results,Research
Bob Gilstrap,Cleaner_Fight_Results,Research
He-Man Gipson,Cleaner_Fight_Results,Research
Jason Godsey,Cleaner_Fight_Results,Research
Allan Goes,Cleaner_Fight_Results,Research
Ulysses Gomez,Cleaner_Fight_Results,Research
Lewis Gonzalez,Cleaner_Fight_Results,Research
Pearl Gonzalez,Cleaner_Fight_Results,Research
Gary Goodridge,Cleaner_Fight_Results,Research
Tim Gorman,Cleaner_Fight_Results,Research
Chase Gormley,Cleaner_Fight_Results,Research
Royce Gracie,Cleaner_Fight_Results,Research
Renzo Gracie,Cleaner_Fight_Results,Research
Rolles Gracie,Cleaner_Fight_Results,Research
Steven Graham,Cleaner_Fight_Results,Research
Neil Grove,Cleaner_Fight_Results,Research
Nandor Guelmino,Cleaner_Fight_Results,Research
Leonardo Guimaraes,Cleaner_Fight_Results,Research
Brad Gumm,Cleaner_Fight_Results,Research
Fabio Gurgel,Cleaner_Fight_Results,Research
Andre Gusmao,Cleaner_Fight_Results,Research
Horacio Gutierrez,Cleaner_Fight_Results,Research
Keith Hackney,Cleaner_Fight_Results,Research
Mark Hall,Cleaner_Fight_Results,Research
Tony Halme,Cleaner_Fight_Results,Research
John Halverson,Cleaner_Fight_Results,Research
Frank Hamaker,Cleaner_Fight_Results,Research
James Hammortree,Cleaner_Fight_Results,Research
Gerry Harris,Cleaner_Fight_Results,Research
Collin Hart,Cleaner_Fight_Results,Research
Chris Haseman,Cleaner_Fight_Results,Research
Hayder Hassan,Cleaner_Fight_Results,Research
Tommy Hayden,Cleaner_Fight_Results,Research
Josh Haynes,Cleaner_Fight_Results,Research
Chris Heatherly,Cleaner_Fight_Results,Research
Delson Heleno,Cleaner_Fight_Results,Research
Josh Hendricks,Cleaner_Fight_Results,Research
Cory Hendricks,Cleaner_Fight_Results,Research
Noe Hernandez,Cleaner_Fight_Results,Research
Ramiro Hernandez,Cleaner_Fight_Results,Research
Paul Herrera,Cleaner_Fight_Results,Research
Jon Hess,Cleaner_Fight_Results,Research
Richie Hightower,Cleaner_Fight_Results,Research
Branden Lee Hinkle,Cleaner_Fight_Results,Research
Kwan Ho Kwak,Cleaner_Fight_Results,Research
Bobby Hoffman,Cleaner_Fight_Results,Research
Sam Hoger,Cleaner_Fight_Results,Research
Chris Holdsworth,Cleaner_Fight_Results,Research
Roger Hollett,Cleaner_Fight_Results,Research
Rex Holman,Cleaner_Fight_Results,Research
Mark Holst,Cleaner_Fight_Results,Research
Satoshi Honma,Cleaner_Fight_Results,Research
David Hood,Cleaner_Fight_Results,Research
Moti Horenstein,Cleaner_Fight_Results,Research
Jamey-Lyn Horth,Cleaner_Fight_Results,Research
Matt Horwich,Cleaner_Fight_Results,Research
Saeed Hosseini,Cleaner_Fight_Results,Research
Brian Houston,Cleaner_Fight_Results,Research
Harold Howard,Cleaner_Fight_Results,Research
Shane Howell,Cleaner_Fight_Results,Research
Mark Hughes,Cleaner_Fight_Results,Research
Alex Hunter,Cleaner_Fight_Results,Research
Solomon Hutcherson,Cleaner_Fight_Results,Research
Minoki Ichihara,Cleaner_Fight_Results,Research
Valeri Ignatov,Cleaner_Fight_Results,Research
Fabiano Iha,Cleaner_Fight_Results,Research
Brad Imes,Cleaner_Fight_Results,Research
Chris Indich,Cleaner_Fight_Results,Research
Guto Inocente,Cleaner_Fight_Results,Research
Enson Inoue,Cleaner_Fight_Results,Research
Wallid Ismail,Cleaner_Fight_Results,Research
Yoislandy Izquierdo,Cleaner_Fight_Results,Research
Kevin Jackson,Cleaner_Fight_Results,Research
Eugene Jackson,Cleaner_Fight_Results,Research
Jeremy Jackson,Cleaner_Fight_Results,Research
Mike Jackson,Cleaner_Fight_Results,Research
Justin James,Cleaner_Fight_Results,Research
Brock Jardine,Cleaner_Fight_Results,Research
Trent Jenkins,Cleaner_Fight_Results,Research
Steve Jennum,Cleaner_Fight_Results,Research
Chan-Mi Jeon,Cleaner_Fight_Results,Research
Maciej Jewtuszko,Cleaner_Fight_Results,Research
Ronald Jhun,Cleaner_Fight_Results,Research
Phil Johns,Cleaner_Fight_Results,Research
Dashon Johnson,Cleaner_Fight_Results,Research
Brian Johnston,Cleaner_Fight_Results,Research
Paul Jones,Cleaner_Fight_Results,Research
Marcus Jones,Cleaner_Fight_Results,Research
Justin Jones,Cleaner_Fight_Results,Research
Kevin Jordan,Cleaner_Fight_Results,Research
Joe Jordan,Cleaner_Fight_Results,Research
Jeff Joslin,Cleaner_Fight_Results,Research
Steve Judson,Cleaner_Fight_Results,Research
Scott Junk,Cleaner_Fight_Results,Research
Emily Kagan,Cleaner_Fight_Results,Research
Sirwan Kakai,Cleaner_Fight_Results,Research
Geza Kalman,Cleaner_Fight_Results,Research
David Kaplan,Cleaner_Fight_Results,Research
Yusuke Kasuya,Cleaner_Fight_Results,Research
Julie Kedzie,Cleaner_Fight_Results,Research
CJ Keith,Cleaner_Fight_Results,Research
Steve Kennedy,Cleaner_Fight_Results,Research
Mark Kerr,Cleaner_Fight_Results,Research
Sanae Kikuta,Cleaner_Fight_Results,Research
Mike King,Cleaner_Fight_Results,Research
Koji Kitao,Cleaner_Fight_Results,Research
Brad Kohler,Cleaner_Fight_Results,Research
Tsuyoshi Kohsaka,Cleaner_Fight_Results,Research
John Kolosci,Cleaner_Fight_Results,Research
Yuki Kondo,Cleaner_Fight_Results,Research
Pascal Krauss,Cleaner_Fight_Results,Research
Keigo Kunihara,Cleaner_Fight_Results,Research
Leo Kuntz,Cleaner_Fight_Results,Research
Tina Lahdemaki,Cleaner_Fight_Results,Research
Tim Lajcik,Cleaner_Fight_Results,Research
Austen Lane,Cleaner_Fight_Results,Research
Anthony Lapsley,Cleaner_Fight_Results,Research
Icho Larenas,Cleaner_Fight_Results,Research
Sione Latu,Cleaner_Fight_Results,Research
Dan Lauzon,Cleaner_Fight_Results,Research
James Lee,Cleaner_Fight_Results,Research
David Lee,Cleaner_Fight_Results,Research
